ఆఫ్రికా	Afrique
ఏప్రిల్ 2	2 avril
హబుల్ టెలీస్కోపు	Hubble (télescope spatial)
ఏప్రిల్ 16	16 avril
ఏప్రిల్ 17	17 avril
ఏప్రిల్ 18	18 avril
ఏప్రిల్ 19	19 avril
ఏప్రిల్ 20	20 avril
ఏప్రిల్ 21	21 avril
ఏప్రిల్ 22	22 avril
ఏప్రిల్ 23	23 avril
ఏప్రిల్ 24	24 avril
ఏప్రిల్ 25	25 avril
ఏప్రిల్ 26	26 avril
ఏప్రిల్ 27	27 avril
ఏప్రిల్ 28	28 avril
ఏప్రిల్ 29	29 avril
ఏప్రిల్ 30	30 avril
ఉపగ్రహం	Satellite naturel
మే 1	1er mai
మే 2	2 mai
మే 3	3 mai
మే 4	4 mai
మే 5	5 mai
మే 6	6 mai
మే 7	7 mai
మే 8	8 mai
మే 9	9 mai
మే 10	10 mai
మే 11	11 mai
మే 12	12 mai
మే 13	13 mai
మే 14	14 mai
మే 15	15 mai
మే 16	16 mai
మే 17	17 mai
మే 18	18 mai
మే 19	19 mai
మే 20	20 mai
మే 21	21 mai
మే 22	22 mai
మే 23	23 mai
మే 24	24 mai
మే 25	25 mai
మే 26	26 mai
మే 27	27 mai
మే 28	28 mai
మే 29	29 mai
మే 30	30 mai
మే 31	31 mai
డిసెంబర్ 21	21 décembre
జూన్ 14	14 juin
జూన్ 15	15 juin
జూన్ 13	13 juin
జూన్ 10	10 juin
జూన్ 7	7 juin
జూన్ 11	11 juin
జూన్ 9	9 juin
జూన్ 12	12 juin
జూన్ 6	6 juin
జూన్ 8	8 juin
జూన్ 5	5 juin
జూన్ 3	3 juin
జూన్ 2	2 juin
జూన్ 1	1er juin
జూన్ 4	4 juin
డిసెంబర్ 22	22 décembre
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
జూన్ 16	16 juin
జూన్ 30	30 juin
జూన్ 29	29 juin
జూన్ 28	28 juin
జూన్ 26	26 juin
జూన్ 25	25 juin
జూన్ 22	22 juin
జూన్ 27	27 juin
జూన్ 24	24 juin
జూన్ 20	20 juin
జూన్ 23	23 juin
జూన్ 19	19 juin
జూన్ 18	18 juin
జూన్ 21	21 juin
జూన్ 17	17 juin
డిసెంబర్ 23	23 décembre
బ్రూస్ విల్లీస్	Bruce Willis
ఆర్నాల్డ్ స్క్వార్జెనెగర్	Arnold Schwarzenegger
జూలై 15	15 juillet
జూలై 13	13 juillet
జూలై 12	12 juillet
జూలై 10	10 juillet
జూలై 9	9 juillet
జూలై 14	14 juillet
జూలై 8	8 juillet
జూలై 7	7 juillet
జూలై 6	6 juillet
జూలై 5	5 juillet
జూలై 2	2 juillet
జూలై 4	4 juillet
జూలై 3	3 juillet
జూలై 1	1er juillet
జూలై 11	11 juillet
డిసెంబర్ 24	24 décembre
జూలై 31	31 juillet
జూలై 30	30 juillet
జూలై 29	29 juillet
జూలై 28	28 juillet
జూలై 27	27 juillet
జూలై 25	25 juillet
జూలై 24	24 juillet
జూలై 23	23 juillet
జూలై 26	26 juillet
జూలై 22	22 juillet
జూలై 19	19 juillet
జూలై 21	21 juillet
జూలై 20	20 juillet
జూలై 17	17 juillet
జూలై 18	18 juillet
జూలై 16	16 juillet
కాల్బంతి	Football
డిసెంబర్ 25	25 décembre
1963	1963
డిసెంబర్ 26	26 décembre
1962	1962
ఐఫోన్	IPhone
ఆగష్టు 14	14 août
ఆగష్టు 15	15 août
ఆగష్టు 13	13 août
ఆగష్టు 12	12 août
ఆగష్టు 11	11 août
ఆగష్టు 10	10 août
ఆగష్టు 8	8 août
ఆగష్టు 7	7 août
ఆగష్టు 9	9 août
ఆగష్టు 5	5 août
ఆగష్టు 4	4 août
ఆగష్టు 2	2 août
ఆగష్టు 3	3 août
ఆగష్టు 6	6 août
ఆగష్టు 1	1er août
ఐప్యాడ్	IPad
డిసెంబర్ 27	27 décembre
జలాంతర్గామి	Sous-marin
ఆగష్టు 16	16 août
ఆగష్టు 29	29 août
ఆగష్టు 28	28 août
ఆగష్టు 30	30 août
ఆగష్టు 25	25 août
ఆగష్టు 26	26 août
ఆగష్టు 23	23 août
ఆగష్టు 27	27 août
ఆగష్టు 21	21 août
ఆగష్టు 20	20 août
ఆగష్టు 24	24 août
ఆగష్టు 18	18 août
ఆగష్టు 17	17 août
ఆగష్టు 22	22 août
ఆగష్టు 19	19 août
ఆగష్టు 31	31 août
మైకల్ జాక్సన్	Michael Jackson
డిసెంబర్ 28	28 décembre
అఫాసియా (మెదడు వ్యాధి వల్ల మాట పోవడం)	Aphasie
ఫ్లూ	Grippe
సెప్టెంబర్ 15	15 septembre
సెప్టెంబర్ 14	14 septembre
సెప్టెంబర్ 13	13 septembre
సెప్టెంబర్ 12	12 septembre
సెప్టెంబర్ 8	8 septembre
సెప్టెంబర్ 11	11 septembre
సెప్టెంబర్ 7	7 septembre
సెప్టెంబర్ 10	10 septembre
సెప్టెంబర్ 5	5 septembre
సెప్టెంబర్ 4	4 septembre
సెప్టెంబర్ 9	9 septembre
సెప్టెంబర్‌ 2	2 septembre
సెప్టెంబర్ 6	6 septembre
సెప్టెంబర్ 1	1er septembre
సెప్టెంబర్‌ 3	3 septembre
డిసెంబర్ 29	29 décembre
వివిక్త కొసైన్ పరివర్తనం	Transformée en cosinus discrète
సెప్టెంబర్ 30	30 septembre
సెప్టెంబర్ 29	29 septembre
సెప్టెంబర్ 28	28 septembre
సెప్టెంబర్ 27	27 septembre
సెప్టెంబర్ 26	26 septembre
సెప్టెంబర్ 25	25 septembre
సెప్టెంబర్ 23	23 septembre
సెప్టెంబర్ 22	22 septembre
సెప్టెంబర్ 24	24 septembre
సెప్టెంబర్ 21	21 septembre
సెప్టెంబర్ 20	20 septembre
సెప్టెంబర్ 18	18 septembre
సెప్టెంబర్ 17	17 septembre
సెప్టెంబర్ 19	19 septembre
సెప్టెంబర్ 16	16 septembre
డిసెంబర్ 30	30 décembre
డిసెంబర్ 31	31 décembre
అక్టోబర్ 1	1er octobre
అక్టోబర్ 15	15 octobre
అక్టోబర్ 12	12 octobre
అక్టోబర్ 10	10 octobre
అక్టోబర్ 14	14 octobre
అక్టోబర్ 9	9 octobre
అక్టోబర్ 8	8 octobre
అక్టోబర్ 13	13 octobre
అక్టోబర్ 7	7 octobre
అక్టోబర్ 11	11 octobre
అక్టోబర్ 6	6 octobre
అక్టోబర్ 4	4 octobre
అక్టోబర్ 5	5 octobre
అక్టోబర్ 3	3 octobre
అక్టోబర్ 2	2 octobre
మేక	Chèvre
అక్టోబర్ 31	31 octobre
అక్టోబర్ 30	30 octobre
అక్టోబర్ 29	29 octobre
అక్టోబర్ 28	28 octobre
అక్టోబర్ 26	26 octobre
అక్టోబర్ 25	25 octobre
అక్టోబర్ 24	24 octobre
అక్టోబర్ 27	27 octobre
అక్టోబర్ 22	22 octobre
అక్టోబర్ 23	23 octobre
అక్టోబర్ 20	20 octobre
అక్టోబర్ 21	21 octobre
అక్టోబర్ 19	19 octobre
అక్టోబర్ 17	17 octobre
అక్టోబర్ 16	16 octobre
అక్టోబర్ 18	18 octobre
నవంబర్ 15	15 novembre
నవంబర్ 14	14 novembre
నవంబర్ 13	13 novembre
నవంబర్ 12	12 novembre
నవంబర్ 11	11 novembre
నవంబర్ 10	10 novembre
నవంబర్ 7	7 novembre
నవంబర్ 8	8 novembre
నవంబర్ 9	9 novembre
నవంబర్ 6	6 novembre
నవంబర్ 5	5 novembre
నవంబర్ 4	4 novembre
నవంబర్ 3	3 novembre
నవంబర్ 2	2 novembre
నవంబర్ 1	1er novembre
అబ్బాయి	Garçon
నవంబర్ 30	30 novembre
నవంబర్ 29	29 novembre
నవంబర్ 28	28 novembre
నవంబర్ 27	27 novembre
నవంబర్ 26	26 novembre
నవంబర్ 25	25 novembre
నవంబర్ 23	23 novembre
నవంబర్ 24	24 novembre
నవంబర్ 21	21 novembre
నవంబర్ 20	20 novembre
నవంబర్ 22	22 novembre
నవంబర్ 19	19 novembre
నవంబర్ 18	18 novembre
నవంబర్ 17	17 novembre
నవంబర్ 16	16 novembre
అమ్మాయి	Fille
సిడ్నీ	Sydney
మెల్బోర్న్	Melbourne
ఎరుపు	Rouge
అగ్ని	Feu
ఫోటాన్	Photon
భూమి వాతావరణం	Atmosphère terrestre
జార్జ్ ఆర్వెల్	George Orwell
నైలు నది	Nil
కాంగో నది	Congo (fleuve)
తోకచుక్క	Comète
టెహరాన్	Téhéran
అద్దిస్ అబాబా	Addis-Abeba
జకార్తా	Jakarta
అంకారా	Ankara
1961	1961
అడుగు (కొలమానం)	Pied (unité)
1960	1960
జావా (ద్వీపం)	Java (île)
అమెజాన్ నది	Amazone (fleuve)
మస్కట్	Mascate
గ్రహశకలం	Astéroïde
అమెజాన్.కాం	Amazon.com
సూర్య గ్రహణం	Éclipse solaire
అడిడాస్	Adidas
పాఠశాల	École
విశ్వవిద్యాలయం	Université
ప్రిటోరియా	Pretoria
టేబుల్ టెన్నిస్	Tennis de table
సూపర్ నోవా	Supernova
వికీపీడియా:Sandbox	Wikipédia:Bac à sable
ఇల్లు	Maison
పట్టణం	Bourg
ల్యాప్‌టాప్	Ordinateur portable
కంప్యూటర్ హార్డ్‌వేర్	Matériel informatique
బీజగణితం	Algèbre
పటము	Carte géographique
నది	Rivière
ఓఝస్కు	Osasco (Brésil)
గ్లాస్గో	Glasgow
న్యూట్రాన్ తార	Étoile à neutrons
టెలిస్కోపు	Télescope
రేడియో తరంగాలు	Onde radio
పెట్టుబడి	Investissement
రేడియో ఖగోళశాస్త్రం	Radioastronomie
మదర్ బోర్డు	Carte mère
TV ట్యూనర్ కార్డ్	Carte télé
కురితీబా	Curitiba
అడవి	Forêt
వర్గం:1888	Catégorie:1888
యుఎస్‌బి ఫ్లాష్ డ్రైవ్ (USB Flash Drive)	Clé USB
జిచిఉజ్ఫాలు	Zichyújfalu
హార్డ్ డిస్క్ డ్రైవ్	Disque dur
మిట్ రోమ్నీ	Mitt Romney
నౌకాదళం	Marine de guerre
సుందరవనాలు	Sundarbans
పడమటి కనుమలు	Ghats occidentaux
భారత పర్వత రైల్వేలు	Chemins de fer de montagne en Inde
సహకార సంఘాలు	Coopérative
రాజీవ్ గాంధీ	Rajiv Gandhi
కన్ఫ్యూషియస్	Confucius
మార్లిన్ మన్రో	Marilyn Monroe
కర్బిన్ బ్ల్యు	Corbin Bleu
వర్గం:గణిత శాస్త్రము	Catégorie:Mathématiques
సూరత్	Surate
వర్గం:భారతదేశ చరిత్ర	Catégorie:Histoire de l'Inde
బాలి	Bali
షెర్లాక్ హోమ్స్	Sherlock Holmes
సాంస్కృతిక పునరుజ్జీవనం	Renaissance
గూడు	Nid
స్తంభం	Colonne (architecture)
వర్గం:1888 జననాలు	Catégorie:Naissance en 1888
యూరో	Euro
మధ్యధరా సముద్రము	Mer Méditerranée
లారీ పేజ్	Larry Page
క్రైస్తవ మతము	Christianisme
బెర్లిన్ గోడ	Mur de Berlin
గంగా నది	Gange
బియ్యము	Riz
ఖండం	Continent
మూస:ALA	Modèle:Åland
అడిలైడ్	Adélaïde (Australie)
పక్షి	Oiseau
రాజధాని	Capitale
గుజరాతి భాష	Gujarati
నెల	Mois
ముస్తఫా కమాల్ అతాతుర్క్	Mustafa Kemal Atatürk
1948	1948
నెమటోడ	Nematoda
1949	1949
ఫిబ్రవరి 2008	Février 2008
హువాంగ్ గ్జియాన్ హన్	Huang Xianfan
1956	1956
1941	1941
1945	1945
1958	1958
శాతవాహనులు	Satavahana
1926	1926
1947	1947
హిప్పోక్రేట్స్	Hippocrate
1944	1944
1952	1952
వజ్రం	Diamant
బిల్ గేట్స్	Bill Gates
కంప్యూటర్ మానిటర్	Écran d'ordinateur
విజ్ఞాన సర్వస్వము	Encyclopédie
ఫ్లాపీ	Disquette
డీవీడీ	DVD
రాండమ్ ఏక్సెస్ మెమరీ	Mémoire vive
మొదటి పేజీ	Wikipédia:Accueil principal
కేంద్రీయ కార్యసరణి విభాగం	Processeur
1959	1959
గ్రాఫైట్	Graphite
1957	1957
రాతి ఉప్పు	Halite
ట్రాన్సిస్టర్	Transistor
బాస్కెట్ బాల్	Basket-ball
క్రికెట్	Cricket
గోల్ఫ్	Golf
డేవిడ్ బౌవీ	David Bowie
ఒలింపిక్ క్రీడలు	Jeux olympiques
యురేషియా	Eurasie
గ్రేట్ డేన్	Dogue allemand
