आफ्रिकाखण्डः	Afrique
चार्ल्सटन्	Charleston (Virginie-Occidentale)
विद्याधर सूरजप्रसाद नैपाल	V. S. Naipaul
पोताश्रयः	Port
सुहार्तो	Soeharto
ब्रह्मपुत्रनदः	Brahmapoutre
विलियम वर्ड्सवर्थ	William Wordsworth
विश्वनाथन् आनन्द	Viswanathan Anand
पनसफलम्	Jacquier
सत्येन्द्रनाथ बोस्	Satyendranath Bose
वरदक्षिणा	Dot
रक्तदुर्गम्	Fort Rouge (Delhi)
भारतीयप्रबन्धनसंस्था (IIM)	Instituts indiens du management
दादरा नगरहवेली च	Dadra et Nagar Haveli
विलियम ए फोलर	William Fowler
कूर्मः	Testudinidae
अफीण	Opium
द प्रेस्टीज्	Le Prestige (film)
भगवद्गीता	Bhagavad-Gita
द टाइम्स ओफ इण्डिया	The Times of India
राबर्ट् हुक्	Robert Hooke
तिब्बतीलिपिः	Alphasyllabaire tibétain
पालीमण्डलम्	District de Pali
कपोलः	Joue
ऐश्वर्या रै	Aishwarya Rai
बभ्रुः	Brun (couleur)
ब्राह्मणः	Brahmane
यजुर्वेदः	Yajur-Véda
श्रुतिः	Shruti
पञ्जाबराज्यस्य मण्डलानि	Liste des districts du Pendjab indien
कामसूत्रम्	Kâmasûtra
कीटः	Ver
हासनम्	Hassan (Karnataka)
जे जे थामसन	Joseph John Thomson
स्वामी विवेकानन्द	Vivekananda
मातृदिवसः	Fête des Mères
प्रतिभा पाटिल	Pratibha Patil
३३९	339
३४०	340
लखनौ	Lucknow
३५४	354
बुलढाणामण्डलम्	District de Buldana
३५६	356
३५८	358
३६१	361
३६३	363
३६४	364
३६८	368
३६९	369
३७०	370
३७१	371
फलकम्:Commonscat	Modèle:Commonscat
३७६	376
३७७	377
३७८	378
३८३	383
३८४	384
३८८	388
३८९	389
३९०	390
३९१	391
३९२	392
३९३	393
३९४	394
३९५	395
३९६	396
३९७	397
३९८	398
३९९	399
काळिङ्गसर्पः	Cobra royal
पक्ष्म	Paupière
महायानम्	Bouddhisme mahāyāna
अमृतसर	Amritsar
शवः	Cadavre
२७९	279
४४०	440
५१७	517
५७२	572
कोलोराडो स्प्रिंग्स्	Colorado Springs
मजापहित साम्राज्य	Majapahit
नुसान्तर	Nusantara
पर्यटनम्	Tourisme
कविः	Poète
जी-सुंग पार्क	Park Ji-sung
फलकम्:Taxobox	Modèle:Taxobox
रामभद्राचार्यः	Rambhadracharya
सुनीता विलियम्स्	Sunita Williams
स्वातन्त्र्यदिनोत्सवः (भारतम्)	Jour de l'Indépendance (Inde)
जेम्स फ्रान्क	James Franck
विल्हेम वेन	Wilhelm Wien
गुस्टाफ् हर्ज्	Gustav Ludwig Hertz
आटो स्टर्न	Otto Stern
पाल् एर्लख्	Paul Ehrlich
जोहन्नेस स्टार्क	Johannes Stark
मारिया गोपर्ट-मेयर	Maria Goeppert-Mayer
प्रणब मुखर्जि	Pranab Mukherjee
पञ्जाबीभाषा	Pendjabi
सरस्वती देवी	Sarasvati (déesse)
काव्यविभागाः	Critique littéraire
हिक्का	Hoquet
तन्तुकरणयन्त्रम्	Rouet (outil)
अरविन्द केजरीवाल	Arvind Kejriwal
ध्रुपद्	Dhrupad
शिवसेना	Shiv Sena
वेङ्कटरामन् रामकृष्णन्	Venkatraman Ramakrishnan
रजनीकान्तः	Rajinikanth
चन्द्रशेखर वेङ्कटरामन्	Chandrashekhara Venkata Râman
खयाल्	Khyal
फ्रेडरिक क्यास्पर् वुल्फ्	Caspar Friedrich Wolff
मौर्यसाम्राज्यम्	Empire Maurya
वुल्फगांग पौली	Wolfgang Pauli
जयपुरम्	Jaipur
कानपुरम्	Kanpur
इन्दौर	Indore
दमण	Daman et Diu
पुदुच्चेरी	Territoire de Pondichéry
अज्मल् कसब्	Ajmal Kasab
ठुमरि	Thumri
टप्पा	Tappâ
सूरणम्	Dioscorea
अपवर्तनम् (भौतविज्ञानम्)	Réfraction
सुकर्णो	Soekarno
मेघावती सुकर्णोपुत्री	Megawati Sukarnoputri
वुल्फगांग केट्टेर्ले	Wolfgang Ketterle
ओट्टो हेन्रिक् वार्बर्ग्	Otto Heinrich Warburg
अगस्ट् वीस्मान्	August Weismann
हान्स् लिप्पर्शे	Hans Lippershey
वाल्थेर बोथे	Walther Bothe
अहिंसा	Non-violence
केरो हेन्रिज्	Heinrich Caro
थियोडोर् स्छ्वान्	Theodor Schwann
म्याथयास् जेकब् ष्लेडन्	Matthias Jakob Schleiden
जे हान्स डी जेन्सेन	Hans Daniel Jensen
पावेल शेरेन्कोव	Pavel Tcherenkov
जेम्स ६ (स्काटलैंड)	Jacques VI et Ier
काशी	Varanasi
घृतकुमारी	Aloe vera
तिन्त्रिणी	Tamarinier
पटना	Patna
श्रीवपोर्ट	Shreveport
रूप्यकम्	Roupie indienne
भेण्डा	Gombo
जेम्स् चाडविक	James Chadwick
डोनाल्ड ए ग्लेसर	Donald Arthur Glaser
भोपाल	Bhopal
होमियोपति	Homéopathie
चणकः	Pois chiche
चार्ल्स १	Charles Ier (roi d'Angleterre)
खदिरवृक्षः	Acacia (genre)
चार्ल्स् -अगस्टीन् डि कूलुम्ब	Charles-Augustin Coulomb
जान कीट्स	John Keats
जीन् ब्याप्टिस्ट् लामार्क्	Jean-Baptiste de Lamarck
सेम्येल टेलर कोलरिज	Samuel Taylor Coleridge
विलियम वालेस	William Wallace
लीयों नील कूपर	Leon Neil Cooper
मेरी १ (इंगलैंड)	Marie Ire (reine d'Angleterre)
चिबुकम्	Menton (partie du visage)
टिमोर	Timor
अग्निप्रस्तरः	Silex
छत्राकम्	Champignon
जन गण मन	Jana Gana Mana
श्रीनिवासरामानुजन्	Srinivasa Ramanujan
जातीफलम्	Noix de muscade
एडवर्ड ६	Édouard VI
गुरु नानक देव	Guru Nanak
लुइस डे ब्रोग्ली	Louis de Broglie
जेम्स् डि व्याट्सन्	James Dewey Watson
अङ्गुष्ठः	Pouce (anatomie)
एलेनोर रोज़वेल्ट	Eleanor Roosevelt
पारासेल्सस्	Paracelse
भाक्राजलबन्धः	Barrage de Bhakra
कुलु	Kullu
मनाली	Manali
भारोत्तोलनक्रीडा	Haltérophilie
मणिकर्ण	Manikaran
मराठासाम्राज्यम्	Empire marathe
जहाङ्गीरः	Jahângîr
शाहजहानः	Shâh Jahân
शिमला	Shimla
कार्ल् लाण्ड्स्टैनर्	Karl Landsteiner
शब्दमालिन्यम्	Pollution sonore
विलियं हार्वे	William Harvey
मधु सूदन	Madhu Sudan
जिततैलम्	Huile d'olive
पर्सी बिश शेली	Percy Bysshe Shelley
सूर्यकान्तितैलम्	Huile de tournesol
सारनमण्डलम्	District de Saran
चायसस्यम्	Théier
सर् रोनाल्ड् रास्	Ronald Ross
बकमिन्स्टर फुलर	Richard Buckminster Fuller
आस्टन् फ्रान्सिस् विलियम्	Francis William Aston
जेर्मेन ग्रीर	Germaine Greer
लक मन्टेगेनियरः	Luc Montagnier
रविशङ्कर	Ravi Shankar (musicien)
दन्तपाली	Gencive
वितली गिन्ज़बर्ग	Vitaly Ginzburg
सिमोन वान डर मीर	Simon van der Meer
अङ्गप्रत्यारोपणम्	Greffe (médecine)
युरोलोजी	Urologie
क्रैस्ताः	Chrétien
तक्रम्	Babeurre
मिर्जा गालिब	Mirza Ghalib
राजेश खन्ना	Rajesh Khanna
शेल्डन ग्लास्हौ	Sheldon Glashow
हरगोविन्द खुराना	Har Gobind Khorana
उत्तरगोवामण्डलम्	District de Goa Nord
दक्षिणगोवामण्डलम्	District de Goa Sud
लक्ष्यसाधनक्रीडा	Tir à l'arc
ए. आर्. रहमान्	Allah Rakha Rahman
एड्वर्ड् क्याल्विन् केण्डल्	Edward Calvin Kendall
हिङ्गु	Ase fétide
माधवः	Madhava de Sangamagrama
रमोन् मेग्सेसे	Ramon Magsaysay
चाओ फ्रया	Chao Phraya
एन	Anne (reine de Grande-Bretagne)
ग्यास्त्रोएन्टेरोलोजी	Gastro-entérologie
भीमसेन जोशी	Bhimsen Joshi
कृष्णदेवरायः	Krishna Deva Râya
जडत्वम् (भौतविज्ञानम्)	Inertie
चार्ल्स २	Charles II (roi d'Angleterre)
गोवाराज्यस्य मण्डलानि	Liste des districts de Goa
केल्विन् विलियं थाम्सन् लार्ड्	William Thomson (Lord Kelvin)
चार्ल्स एडुआर्ड गुइल्लौमे	Charles Édouard Guillaume
फ्रान्सिस् एच् सि क्रिक्	Francis Crick
हिमाचलप्रदेशस्य मण्डलानि	Liste des districts de l'Himachal Pradesh
वस्त्रनिर्मलीकरणयन्त्रम्	Machine à laver le linge
स्लम्डाग् मिलियनेर्	Slumdog Millionaire
जेम्स ७ (स्काटलैंड)	Jacques II (roi d'Angleterre)
स्टीव् इर्विन्	Steve Irwin
मङ्गळूरु	Mangalore
अल्बर्ट ए मिकेल्सन	Albert A. Michelson
जार्ज ३	George III (roi du Royaume-Uni)
सन्तरविदासनगरमण्डलम्	District de Sant Ravidas Nagar
एम् जि रामचन्द्रन्	Marudu Gopalan Ramachandran
आर्थर एच काम्पटन	Arthur Compton
