Африк	Afrique
Салар ястан	Salar (ethnie)
Белги	Belges
Накамүра Хикарү	Hikaru Nakamura
Жон Уолл	John Wall
Яков Фак	Jakov Fak
Ан-24	Antonov An-24
Тэкүдэр	Ahmad Teküder
Эрик Ламела	Erik Lamela
Марко Верратти	Marco Verratti
Марко Мотта	Marco Motta
Глен Дэвис	Glen Davis
ТУ-244	Tupolev Tu-244
Батна	Batna
Минамата өвчин	Maladie de Minamata
Динамо	Dynamo (homonymie)
1996 оны олимпийн бөх	Lutte aux Jeux olympiques d'été de 1996
Рик Карлайл	Rick Carlisle
Нобелийн шагналтнуудын нэрс	Liste des lauréats du prix Nobel
Гэзэгт нугас	Canard à faucilles
Африкийн Хөгжлийн Банк	Banque africaine de développement
Начо Монреаль	Nacho Monreal
Жейк Ливермор	Jake Livermore
F(x) (хамтлаг)	F(x)
Марк Вильмотс	Marc Wilmots
Ча Бом-гөнь	Cha Bum-geun
Тэс сум	TES
Фронт	Front
Армин Цоггелер	Armin Zöggeler
Виктор Горбатко	Viktor Gorbatko
Партизан (салаа утга)	Partisan
Өнөөдөр	Today
Жорес Окор	Jores Okore
Ку Жа Чоль	Koo Ja-cheol
Тони Эбботт	Tony Abbott
Кайри Ирвинг	Kyrie Irving
Уолт Фрейзер	Walt Frazier
Кайл Нотон	Kyle Naughton
Фрейзер Форстер	Fraser Forster
Гари Невилл	Gary Neville
Адам Сайтиев	Adam Saitiev
Деян Ловрен	Dejan Lovren
Сим де Йонг	Siem de Jong
Хелен Миррен	Helen Mirren
Вангелис Морас	Vangélis Móras
Самуэль Инкум	Samuel Inkoom
Чон Сон-рён	Jung Sung-ryong
Нери Кастильо	Nery Castillo
Тимми Симонс	Timmy Simons
Мажид Бугерра	Madjid Bougherra
Адам Мэттьюз	Adam Matthews
Карлос Павон	Carlos Pavón
Эмилио Исагирре	Emilio Izaguirre
Марио Станич	Mario Stanić
Адель Таарабт	Adel Taarabt
Маркел Сусаета	Markel Susaeta
Патрик Уилсон	Patrick Wilson
Адама Кулибали	Adama Coulibaly
Назрет	Adama (Éthiopie)
Шингэрүүлсэн нефтийн хий	Gaz de pétrole liquéfié
Евгений Устюгов	Evgeny Ustyugov
Николя Батюм	Nicolas Batum
Мо Уильямс	Maurice Williams
Стефен Карри	Stephen Curry
Тьяго Сплиттер	Tiago Splitter
Тимофей Мозгов	Timofeï Mozgov
Майкл Бизли	Michael Beasley
Аддис-Абебын цэнгэлдэх хүрээлэн	Addis Abeba Stadium
Габриэле Ориали	Gabriele Oriali
Иохан Готтлиб Ган	Johan Gottlieb Gahn
Сардури II	Sarduri II
Роб Маршалл	Rob Marshall
Жо Жордан	Joe Jordan
Дерек Жетер	Derek Jeter
Тедди Ринер	Teddy Riner
Ли Бойер	Lee Bowyer
Мацүока Ёосүкэ	Yōsuke Matsuoka
Матьяж Кек	Matjaž Kek
Найдангийн Түвшинбаяр	Naidangiin Tüvshinbayar
Богд хаан	Bogdo Khan
Михаил Гуревич	Mikhaïl Gourevitch
Эзэн Хаан Хэйзэй	Heizei
Дуудлага (радио холбоо)	Indicatif (radio)
Фам Туан	Phạm Tuân
Питер Роно	Peter Rono
Аделина Сотникова	Adelina Sotnikova
Виейринья	Vieirinha
Мохаммед Надир Шах	Mohammad Nadir Shah
Стивен Дэвис	Steven Davis
Александр Кучер	Oleksandr Kucher
II Мутеса	Muteesa II
Ким Нам-иль	Kim Nam-il
Жерар Деулофеу	Gerard Deulofeu
Жексон Мартинес	Jackson Martínez
Хань Сын-сү	Han Seung-soo
Негассо Гидада	Negasso Gidada
Хоэль Кэмпбелл	Joel Campbell
Хосе Саломон Рондон	Salomón Rondón
Николас Пареха	Nicolás Pareja
Том Хитон	Thomas Heaton
Кевин де Брёйне	Kevin De Bruyne
Даниел Субашич	Danijel Subašić
Хашим Табит	Hasheem Thabeet
Девин Харрис	Devin Harris
Тревор Ариза	Trevor Ariza
Хавьер Прието	Xabier Prieto
Карлос Гурпеги	Carlos Gurpegui
Габи	Gabriel Fernández (football)
Жефф Грин	Jeff Green
Марчин Гортат	Marcin Gortat
Адмир Мехмеди	Admir Mehmedi
Мартен Фуркад	Martin Fourcade
Ричард Томпсон	Richard Thompson (athlétisme)
Пабло Прижиони	Pablo Prigioni
Барилгын биологи	Baubiologie
Фернандо Сантош	Fernando Santos
Эрик Гордон	Eric Gordon
Амадо Гевара	Amado Guevara
Маркус Кэмби	Marcus Camby
Алехандро Дамиан Домингес	Alejandro Domínguez
Сеяд Салихович	Sejad Salihović
Марек Грехута	Marek Grechuta
Кристиан Боланьос	Christian Bolaños
Дарио Колонья	Dario Cologna
Виктор Рубан	Viktor Ruban
Кеньон Мартин	Kenyon Martin
Андерс Бардаль	Anders Bardal
Жеймс Уорти	James Worthy
Зах зээлийн сегментчлэл	Segmentation (sciences humaines)
Маттиас Майер	Matthias Mayer
Билл Уолтон	Bill Walton
Энтони Ванден Борре	Anthony Vanden Borre
Тайрик Эванс	Tyreke Evans
Крис Хамфрис	Kris Humphries
Андерсон Варежао	Anderson Varejão
Борис Немцов	Boris Nemtsov
Спад Уэбб	Spud Webb
Василий Лазарев	Vassili Lazarev
Фабиано Каруана	Fabiano Caruana
Эдуардо Сальвио	Eduardo Salvio
Фабиан Орельяна	Fabián Orellana
Жордан Айю	Jordan Ayew
Кортни Ли	Courtney Lee
Ким Бу-гён	Kim Bo-kyung
Хамес Родригес	James Rodríguez
Судалт өмхий хүрэн	Mouffette rayée
Боб Петтит	Bob Pettit
Долган ястан	Dolganes
Теофило Гутьеррес	Teófilo Gutiérrez
Жей Жей Редик	J. J. Redick
Бургас аймаг	Bourgas (oblast)
Казатин	Koziatyn
Горан Драгич	Goran Dragić
Мухамед Бешич	Muhamed Bešić
Өөлд	Dzoungars
Гулаг олтриг	L'Archipel du Goulag
Кэрон Батлер	Caron Butler
Рүүди Гей	Rudy Gay
Тедди Тамго	Teddy Tamgho
Вильфрид Бони	Wilfried Bony
Адриан Рамос	Adrián Ramos
Бруно Сориано	Bruno Soriano Llido
Марио Суарес Мата	Mario Suárez Mata
Марио Чалмерс	Mario Chalmers
Жо Ледли	Joe Ledley
Resistance: Fall of Man	Resistance: Fall of Man
Магнус Моан	Magnus Moan
Уэйн Раутлеж	Wayne Routledge
2016 оны өсвөрийн өвлийн олимп	Jeux olympiques de la jeunesse d'hiver de 2016
Хосе Хуан Бареа	José Juan Barea
Рэймонд Фелтон	Raymond Felton
Пабло Армеро	Pablo Armero
Альбин Экдаль	Albin Ekdal
Крафтын тэнцэтгэл биш	Inégalité de Kraft
Геннадий Авдеенко	Hennadiy Avdyeyenko
Жи Дон Вон	Ji Dong-won
Ян Вэй	Yang Wei (gymnaste)
Самюэль Далемберт	Samuel Dalembert
Ральф Рөүз	Ralph Rose
Морено Торричелли	Moreno Torricelli
Стивен Брэдбури	Steven Bradbury
Як-17	Yakovlev Yak-17
Эльнур Маммадли	Elnur Mammadli
Санжаагийн Баяр	Sanjaagiin Bayar
Крис Брант	Chris Brunt
Ромас Убартас	Romas Ubartas
Ровшан Байрамов	Rovshan Bayramov
Франсиско Карбахал	Francisco Carvajal
Оно Такаши	Takashi Ono
Рон Харпер	Ron Harper (basket-ball)
Артур Нюман	Arthur Numan
Сүхбаатарын Батболд	Sükhbaataryn Batbold
Мамо Волде	Mamo Wolde
Уолтер Каннингэм	Walter Cunningham
Энхбатын Бадар-Ууган	Enkhbatyn Badar-Uugan
Семён Фарада	Semion Farada
Артур Блэйк	Arthur Blake
Далибор Стеванович	Dalibor Stevanovič
Жон Акий-Буа	John Akii-Bua
Рожер Жонсон	Roger Johnson
Йон Гвидетти	John Guidetti
Гленн Клоуз	Glenn Close
Жоржиньо Вейналдум	Georginio Wijnaldum
Жонатан де Гузман	Jonathan de Guzmán
Густаво Лопес	Gustavo López
Жалилабад аймаг	Cəlilabad (raion)
Улаан цээжит арвас хошуут	Toucan à ventre rouge
Линьи	Linyi
Жоан Карлос де Оливейра	João Carlos de Oliveira
Хужанд	Khodjent
Эзэн Хаан Го-Нижоо	Go-Nijō
Эзэн Хаан Эн-Юү	En'yū
Жэймс Ван	James Wan
Кайл Корвер	Kyle Korver
Венсан Же	Vincent Jay
Манни Рамирес	Manny Ramírez
Токо арвас хошуут	Toucan toco
Икечукву Уче	Ikechukwu Uche
Му Тэ-бом	Mo Tae-bum
Димитри Пайе	Dimitri Payet
Кайзен	Kaizen
Райан Андерсон	Ryan Anderson (basket-ball)
Өөр залуус	Very Bad Cops
Бас Дост	Bas Dost
Ричард Жефферсон	Richard Jefferson
Табо Сефолоша	Thabo Sefolosha
Сакамото Рёома	Sakamoto Ryōma
Тэжу ван	Taejo
Когурёогийн Донмёнсён	Jumong
Өэлүн	Hö'elün
731-р анги	Unité 731
Adult Swim	Adult Swim
Суицүкү Шинго	Shingo Suetsugu
Жанкарло Антоньони	Giancarlo Antognoni
Чинь Жун-у	Jin Jong-oh
Оуэн Койл	Owen Coyle
Илиас Илиадис	Ilías Iliádis
Ногай	Nogaï
Калифорни далайн арслан	Otarie de Californie
Хар залаат тогоруу	Grue couronnée
Маттиа Де Шильо	Mattia De Sciglio
Лос Аламосын Үндэсний Лабратори	Laboratoire national de Los Alamos
Ионас Валанчюнас	Jonas Valančiūnas
И Бён-хонь	Lee Byung-hun
Мохамед Диаме	Mohamed Diamé
Хоёртын мод	Arbre binaire
Чуранди Мартина	Churandy Martina
Алекс Стэпни	Alex Stepney
Орд	Orda
Уиллис Рид	Willis Reed
Майк Миллер	Mike Miller (basket-ball)
Доргон	Dorgon
Икэда Кикүнаэ	Kikunae Ikeda
Маттиа Дестро	Mattia Destro
Маркус Хельнер	Marcus Hellner
Фань Бинбин	Fan Bingbing
Эрариум	Ærarium
Тед Денсон	Ted Danson
Андерс Якобсен	Anders Jacobsen
Монта Эллис	Monta Ellis
Роберто Каммарелле	Roberto Cammarelle
Пьер Кинон	Pierre Quinon
Андрей Абдувалиев	Andrey Abduvaliyev
Леонид Каденюк	Leonid Kadeniouk
Жэффри Баттл	Jeffrey Buttle
Бюдингэн	Büdingen
Модун шаньюй	Modu
Oasis	Oasis (groupe)
Баруун Хойд Холбооны тойрог	District fédéral du Nord-Ouest
2004 оны Америкийн Гран При	Grand Prix automobile des États-Unis 2004
Паксе	Paksé
Нью-Жоржиа арлууд	Archipel de la Nouvelle-Géorgie
Лукаш Залуска	Łukasz Załuska
Кристоф Зуман	Christoph Sumann
Хирокитиа	Choirokoitia
Барилгажилт	Construction
Галактикийн байршлын систем	Système de coordonnées galactiques
Владимир Канайкин	Vladimir Kanaykin
Бирюса	Birioussa
Янковскийн хөмрөг	Bruant de Jankowski
Токио Хотел	Tokio Hotel
Банкирын алгоритм	Algorithme du banquier
Загасч бүргэд	Pygargue nain
Эммануэль Адебайор	Emmanuel Adebayor
Африк бүргэд	Aigle fascié
Орфан	Esther (film, 2009)
Шабран аймаг	Şabran (raion)
Ангилал:Бельгийн жүдочид	Catégorie:Judoka belge
Боржек Дочкал	Bořek Dočkal
Мухаммадкадыр Абдуллаев	Mahammatkodir Abdoollayev
Сонгодог бөхийн барилдаан	Lutte gréco-romaine
Ахемены улс	Achéménides
Вьентьян тойрог	Préfecture de Vientiane
Никита	Nikita (série télévisée)
Оросын сагсан бөмбөгийн үндэсний шигшээ баг	Équipe de Russie de basket-ball
Ми Сон	Sanctuaire de Mỹ Sơn
Шунхан цэгцүүхэй	Sizerin blanchâtre
Шөвгөр цахлай	Goéland railleur
ТУ-14	Tupolev Tu-14
Мөнх сарьдаг уул	Mounkou Sardyk
Матай	Évangile selon Matthieu
Альборз муж	Province d'Alborz
Олимпийн уран гулгалтын тэмцээн	Patinage artistique aux Jeux olympiques
Майкл Жей Фокс	Michael J. Fox
Дубай	Dubaï
Ахал муж	Ahal
Монголчуудын Сүн улсын байлдан дагуулалт	Conquête mongole de la dynastie Song
Нуар	Noir (anime)
Эдийн засгийн хөлсний алуурчны наминчлал	Les Confessions d'un assassin financier
Ань Сон-ги	Ahn Sung-ki
Бенгал үндэстэн	Bengalis (peuple)
Барри Хокинс	Barry Hawkins
Аймак	Aimak
Зимбабвегийн Ерөнхийлөгч	Présidents du Zimbabwe
Капролактам	Caprolactame
Акита Олон Улсын Их Сургууль	Université d'études internationales
Ватабэ Акито	Akito Watabe
Конно Акицүгү	Akitsugu Konno
Жэймс Корсон	James Corson
Хөх нугас	Hyménolaime bleu
Ксенотим	Xénotime
Аксу тойрог	Préfecture d'Aksou
Микроклин	Microcline
Циклин	Cyclines (protéines)
Рибавирин	Ribavirine
Монацит	Monazite
Нана (анимэ)	Nana (manga)
Аль-Фарук Амину	Al-Farouq Aminu
Тулабуга	Tula Buqa
Факэдэ загвар	Façade (patron de conception)
Сынри	Seungri
Луиш Нето	Luís Neto
Жей Парк	Jay Park
Максим Гоналон	Maxime Gonalons
Аль-Жазира (хөлбөмбөгийн баг)	Al-Jazira Club
Як-141	Yakovlev Yak-141
Факундо Ронкалья	Facundo Roncaglia
Микаэль Кингсбери	Mikaël Kingsbury
Виктор Савиных	Viktor Savinykh
Залаат могойч бүргэд	Serpentaire bacha
Асмир Бегович	Asmir Begović
Стэллэрийн далайн арслан	Lion de mer de Steller
Нургийн сойр	Tétras à bec noir
Шинэ Зеландын далайн арслан	Lion de mer de Nouvelle-Zélande
Ольга Вилухина	Olga Vilukhina
АНТ-1	Tupolev ANT-1
АНТ-20/ПС-124	Tupolev ANT-20 « Maxime Gorki »
Пак Сын Хи	Park Seung-hi
Номүра Тадахиро	Tadahiro Nomura
Алтай хот	Altay (Mongolie)
Уулын үен	Belette de montagne
Алтан хан	Altan Khan
Рик Бэрри	Rick Barry
Алтай танк	Char Altay T1
Лукас Билья	Lucas Biglia
Жереми Морель	Jérémy Morel
Давид Оспина	David Ospina
Александр Качаниклич	Alexander Kačaniklić
Гастон Рамирес	Gastón Ramírez
Жек Корк	Jack Cork
Морган Амальфитано	Morgan Amalfitano
Лука Антонелли	Luca Antonelli
Эвлэрүүлэн зуучлал	Mode alternatif de résolution des conflits
Бакари Коне	Bakary Koné
Давид Фустер	David Fuster
Рэнди Фой	Randy Foye
Хуучин Барга хошуу	Bannière du Vieux Barag
Матиас Сильвестре	Matías Silvestre
Костел Пантилимон	Costel Pantilimon
Иорин тер Морс	Jorien ter Mors
Сон Хын Мин	Son Heung-min
Ноэль Вальядарес	Noel Valladares
Арнд Пайффер	Arnd Peiffer
Карлос Самбрано	Carlos Zambrano (football)
Эрик Споэльстра	Erik Spoelstra
Жеймс Жонс (сагсан бөмбөгчин)	James Jones (basket-ball)
Сэм Жонс	Sam Jones (basket-ball)
Эван Тёрнер	Evan Turner
Стивен Нейсмит	Steven Naismith
Мевлют Эрдинч	Mevlüt Erding
Лоренцо Де Сильвестри	Lorenzo De Silvestri
Стивен Н'Зонзи	Steven N'Zonzi
Эл Жефферсон	Al Jefferson
Барри Бэннан	Barry Bannan
Пётр Малаховский	Piotr Małachowski
Ола Виген Хаттестад	Ola Vigen Hattestad
Ли Чон Су	Lee Jung-su
Тони Аллен	Tony Allen (basket-ball)
Никола Пекович	Nikola Peković
Марко Белинелли	Marco Belinelli
Марина Черкасова	Marina Cherkasova
Каппи Пондекстер	Cappie Pondexter
Деби Томас	Debi Thomas
Сюзан Коррок	Susie Corrock
Дебби Вилкес	Debbi Wilkes
Олександра Тимошенко	Alexandra Timochenko
Дороти Хайман	Dorothy Hyman
И Бён-чоль	Lee Byung-chul
Филип Дамс	Filip Daems
Думитру Прунариу	Dumitru Prunariu
Карин Клейбёкер	Carien Kleibeuker
Жамал Кроуфорд	Jamal Crawford
Максим Шабалин	Maksim Chabaline
Дэвид Ортиз	David Ortiz
Грег Фостер	Greg Foster
Ален Шаба	Alain Chabat
Христо Марков	Khristo Markov
Байду	Baïdou
Мөнхбатын Даваажаргал	Hakuhō Shō
Рольф Даннеберг	Rolf Danneberg
Йозеф Шмидт	Józef Schmidt
Скотт Данн	Scott Dann
Вилиам Шройф	Viliam Schrojf
Жак Эрбран	Jacques Herbrand
Мөнхтөмөр	Mengü Temür
Предраг Жоржевич	Predrag Đorđević
Лерой Баррелл	Leroy Burrell
Фроде Эстил	Frode Estil
Ёхан Ремен Эвенсен	Johan Remen Evensen
Ким Жэ-бом	Kim Jae-bum
Григорий Семёнов	Grigori Semenov
Иван Белла	Ivan Bella
Роберто Виттори	Roberto Vittori
Педро Дуке	Pedro Duque
Артур Партыка	Artur Partyka
Ангилал:Түүхийн сэдвүүд	Catégorie:Histoire thématique
Элвин Харрисон	Alvin Harrison
Себастьян Миля	Sebastian Mila
Хьетиль Янсруд	Kjetil Jansrud
Фүкүши Каёко	Kayoko Fukushi
Алшаа аймаг	Ligue d'Alxa
Франциск пап	François (pape)
Амаду Диа Ба	Amadou Dia Ba
Ивонн Бөниш	Yvonne Bönisch
Даниэль Игали	Daniel Igali
Сенад Лулич	Senad Lulić
Клоэ Дюфур-Лапуант	Chloé Dufour-Lapointe
Жуан Жезус	Juan Guilherme Nunes Jesus
Антуан Гризманн	Antoine Griezmann
Йонас Йеребко	Jonas Jerebko
Алехандро Сабелья	Alejandro Sabella
Александр Билодо	Alexandre Bilodeau
Тиагу Камилу	Tiago Camilo
Петер Превц	Peter Prevc
Алессио Черчи	Alessio Cerci
Демар Дерозан	DeMar DeRozan
Литани гол	Litani
Юссеф Эль-Араби	Youssef El-Arabi
Нолито	Nolito
Ахмед аль-Мухаммади	Ahmed El Mohamady
Грегг Попович	Gregg Popovich
Орибе Перальта	Oribe Peralta
Сюй Мэнтао	Xu Mengtao
Эрнесто Канто	Ernesto Canto
Америк тогоруу	Grue blanche
Жабраил аймаг	Jabrayil (raion)
Дашкесан аймаг	Daşkəsən (raion)
Саша Клештан	Sacha Kljestan
Дарио Цвитанич	Darío Cvitanich
Чиро Иммобиле	Ciro Immobile
Кевин Мартин (сагсан бөмбөгчин)	Kevin Martin (basket-ball)
Рагнар Клаван	Ragnar Klavan
Арминас Нарбековас	Arminas Narbekovas
Билли Эллиот	Billy Elliot
Жюстин Дюфур-Лапуант	Justine Dufour-Lapointe
Элдин Якупович	Eldin Jakupović
Пан Вэй	Pang Wei
Индепендент кино	Cinéma indépendant
Фернандиньо	Fernando Luiz Roza
Чарли Вильянуэва	Charlie Villanueva
Уогга-Уогга	Wagga Wagga
Диего Коста	Diego Costa
Барисал муж	Barisal (division)
Стивен Жерард	Steven Gerrard
Виктор Ваньяма	Victor Wanyama
Майк Уильямсон	Mike Williamson
Анна Мельниченко	Hanna Melnychenko
Брүүк Лопес	Brook Lopez
Дэвид Ньюжент	David Nugent
Брэндон Басс	Brandon Bass
Никола Берти	Nicola Berti
Тамын хүү (кино)	Hellboy (film)
Юлия Жима	Juliya Dzhyma
Хелен Хеллвиг	Helen Hellwig
Виктор Бернардес	Víctor Bernárdez
Мехди Бенатиа	Mehdi Benatia
Дэвид Ли (сагсан бөмбөгчин)	David Lee (basket-ball)
Десмонд Мэйсон	Desmond Mason
Ларри Жонсон	Larry Johnson (basket-ball)
Карел Роден	Karel Roden
Хүслийн жагсаалт	Sans plus attendre
Ким Жон-сүк	Kim Jong-suk
МиГ-1	Mikoyan-Gourevitch MiG-1
Демаркус Казинс	DeMarcus Cousins
Сүхбаатарын Янжмаа	Sühbaataryn Yanjmaa
О Жей Мэйо	O. J. Mayo
Ийд ал-Фит	Aïd el-Fitr
Шинь Минь-а	Sin Min-ah
Ким Тэ-хый	Kim Tae-hee
Суси Сусанти	Susi Susanti
Пэ Сү-жи	Bae Suzy
Археологийн соёл	Culture archéologique
Марко Белтрами	Marco Beltrami
Хетаг Гозюмов	Khetag Gazyumov
Саваннакхет аймаг	Province de Savannakhet
Шариф Шарифов	Sharif Sharifov
Таиз	Ta'izz
Юлия Савичева	Julia Savicheva
Владимир Жанибеков	Vladimir Djanibekov
Гюзель Манюрова	Guzel Manyurova
Сиатл Маринерс	Mariners de Seattle
ТУ-204	Tupolev Tu-204
Бор далайн хав	Otarie à fourrure d'Afrique du Sud
Хатра	Hatra
Штефани Граф	Stephanie Graf
Троодосын нуруу	Massif du Troodos
Келли Сотертон	Kelly Sotherton
Им Юна	Yoona
Барбара Барк	Barbara Burke
Рут Сведберг	Ruth Svedberg
Патрисиа Миранда	Patricia Miranda
Раффаэль Каэтано де Араужо	Raffael Caetano de Araújo
Поппе	Nicolas Poppe
Лао Лиши	Lao Lishi
Камил Стох	Kamil Stoch
Даваагийн Бямбасүрэн	Byambasuren Davaa
Ингрид Бергманс	Ingrid Berghmans
Софья Ская	Sofya Skya
Кристиан Нобоа	Christian Noboa
Себастьян Поконьоли	Sébastien Pocognoli
Клеман Шантом	Clément Chantôme
Чон Жү-ён	Chung Ju-yung
Чан Дун-гонь	Jang Dong-gun
Бета функц	Fonction bêta
Куанжун ван	Gwangjong de Goryeo
Бесик Кудухов	Besik Kudukhov
Андрей Миронов	Andreï Mironov
Анатолий Папанов	Anatoli Papanov
Сиприано Кастро	Cipriano Castro
Монголын Нууц Товчоо	Histoire secrète des Mongols
Ёньсаньгүнь ван	Yeonsangun
Марк Тётерт	Mark Tuitert
Аригбөх	Ariq Boqa
Жозеф Гиллемо	Joseph Guillemot
Тохта	Toqtaï
Бронислав Малиновски	Bronisław Malinowski (athlétisme)
Гайхату	Ghaykhatou
Жэйми О'Хара	Jamie O'Hara
Сомжит Жонгжохор	Somjit Jongjohor
Волмари Исо-Холло	Volmari Iso-Hollo
Кристоф Билер	Christoph Bieler
Драгослав Шекуларац	Dragoslav Šekularac
Алексей Писемский	Alexeï Pissemski
Дитмар Мөгэнбүрг	Dietmar Mögenburg
Мордехай Шпиглер	Mordechai Spiegler
Альберто Ботиа	Alberto Botía
Фильберт Баы	Filbert Bayi
Мирза Телетович	Mirza Teletović
Стирлингийн томъёо	Formule de Stirling
Пол Тануи	Paul Tanui
Ян Бос	Jan Bos
Динократес	Dinocrate de Rhodes
Шанду	Xanadu (palais)
Хөрсний механик	Mécanique des sols
Том Сандберг	Tom Sandberg
Амир Жонсон	Amir Johnson
Арнфинн Бергманн	Arnfinn Bergmann
Амьсгалах процесс	Respiration
Тай үндэстэн	Thaïs (peuple)
Пику-Руйву	Pico Ruivo
Австрийн ерөнхийлөгч	Président fédéral (Autriche)
Мориц Штоппелькамп	Moritz Stoppelkamp
Хятадын ард түмэн	Groupes ethniques de Chine
Хараалжин цууцил	Bécassin à long bec
Итэлгэн цахлай	Goéland ichthyaète
Олимпийн бэйсболын тэмцээн	Baseball aux Jeux olympiques
Хажигабул аймаг	Hacıqabul (raion)
Бөөрний дутагдал	Insuffisance rénale
РТ-2ПМ2 Тополь-М	Topol-M
Актөбе	Aktioubé
Талукан	Tâloqân
Евгений Гришин	Evgueni Grichine (patinage de vitesse)
Златибор аймаг	Zlatibor (district)
Coritiba Foot Ball Club	Coritiba Foot Ball Club
Таншоннят олон улсын нисэх онгоцны буудал	Aéroport international de Tân Sơn Nhất
Зураг	Image
Дээд палеолит	Paléolithique supérieur
Сүвоний Самсон Блюуингз	Suwon Samsung Bluewings Football Club
Блинк-182	Blink-182
Олон ангит кино	Drama coréen
Чан Хёк	Jang Hyuk
Ки Бу-бэ	Ki Bo-bae
Куанхэгүнь ван	Gwanghaegun
Азербайжан үндэстэн	Azéris
Нани	Nani
Эдвин ван дер Сар	Edwin van der Sar
Чүнжун ван	Jungjong
Пари Сен-Жермен	Paris Saint-Germain Football Club
Паоло Мальдини	Paolo Maldini
Робинзон Крузо	Robinson Crusoé
Узбек үндэстэн	Ouzbeks
Хуан Сонь-хун	Hwang Sun-hong
Ван Ги-чүнь	Wang Ki-chun
Цэнгэлдэх хүрээлэн	Stade
Бен Аффлек	Ben Affleck
Петр Чех	Petr Čech
Олон Улсын Славяны Суваг	Slave Chaîne International
Эй-Пинк (A Pink) хамтлаг	A Pink
Серхио Рамос	Sergio Ramos
Сан-Паулугийн метро	Métro de São Paulo
Ким Жан-ми	Kim Jang-mi
Мөрөөдлөөс ч илүү	Dream High
Рио Фердинанд	Rio Ferdinand
Усан оргилуур	Fontaine (bassin)
Азийн наадам	Jeux asiatiques
Тажик үндэстэн	Tadjiks
Филлах	Villach
Өмнөд Холбооны тойрог	District fédéral du Sud
Күонь Сан-Ү	Kwon Sang-woo
Иньжун ван	Injong
Мёнжун ван	Myeongjong
Мүньжун ван	Munjong
Лука Модрич	Luka Modrić
Гонсало Игуаин	Gonzalo Higuaín
Туркийн хөлбөмбөгийн үндэсний шигшээ баг	Équipe de Turquie de football
Чех улсын хөлбөмбөгийн шигшээ баг	Équipe de République tchèque de football
Төвдийн Бурханы шашин	Bouddhisme tibétain
Жэк Блэк	Jack Black
И Гю-хёк	Lee Kyou-hyuk
S.M. Entertainment	SM Entertainment
Сонжун ван	Seongjong
Кирк Хэмметт	Kirk Hammett
Юнь Уг-хи	Yun Ok-hee
Төмөрийн улс	Timourides
Перс үндэстэн	Persans
Хархалпак орон	Karakalpakistan
Хёньжун ван	Hyeonjong
Манлайлал	Leadership
Чингиз Айтматов	Tchinguiz Aïtmatov
Keane	Keane (groupe)
Соньжу ван	Seonjo
Дэвид Духовны	David Duchovny
Фабио Коэнтрао	Fábio Coentrão
Сун Ган-ху	Song Kang-ho
Алматын метро	Métro d'Almaty
Хүн-аалз (кино)	Spider-Man (film)
Хюжун ван	Hyojong
Иньжу ван	Injo
Бамияны бурхан багш	Bouddhas de Bâmiyân
Солонгос үндэстэн	Coréens
Түркмен үндэстэн	Turkmènes
Киргиз үндэстэн	Kirghizes
Ким Жи-үнь	Kim Jee-woon
Жаред Лето	Jared Leto
Ю Сан-чоль	Yoo Sang-chul
Ли Хо Сок	Lee Ho-suk
Кристин Лагард	Christine Lagarde
Итан Хоук	Ethan Hawke
Шугаман тэгшитгэл	Équation linéaire
Леон (кино)	Léon (film)
Куак Жэ-юун	Kwak Jae-yong
Харганат	Karaganda
Альборзын нуруу	Elbourz
Су Жи-соб	So Ji-sub
Луи Саа	Louis Saha
Кёнжун ван	Gyeongjong
Ёнжу ван	Yeongjo
Таньжун ван	Danjong
Лассана Диарра	Lassana Diarra
Нил Патрик Харрис	Neil Patrick Harris
Башгир ястан	Bachkirs
Шымкент	Chimkent
Александр Дедюшко	Alexandre Dediouchko
Чонжун ван	Jeongjong
Үллөн-гүнь	District de Ulleung
Customer relationship management	Gestion de la relation client
Сүгжун ван	Sukjong
Пепе	Pepe (football)
Юн Сок Ён	Yun Suk-young
Чонь Ги-ён	Jeon Ki-young
Европын хөлбөмбөгийн Аваргуудын лиг - 2012/2013	Ligue des champions de l'UEFA 2012-2013
Балкан муж	Balkan (province)
Чу Жэ-хёнь	Jo Jae-hyeon
Глонасс байршил тогтоох систем	GLONASS
Павлодар	Pavlodar
Саха ястан	Iakoutes
Нарийн аймаг	Province de Naryn
И Да-хэ	Lee Da-hae
Тараз	Taraz
Борис Гельфанд	Boris Guelfand
Үнэт цаасны хоёрдогч зах зээл	Marché secondaire
Математик загварчлал	Modèle mathématique
Виктор Цой	Viktor Tsoi
Жейми Грегг	Jamie Gregg
Ян Смекенс	Jan Smeekens
Лебап муж	Lebap
Дашогуз муж	Province de Daşoguz
Мары муж	Mary (province)
Иссык-Күл аймаг	Yssykköl (province)
Орал	Oural (Kazakhstan)
Арда Туран	Arda Turan
Ким Жэ-ёп	Kim Jae-yup
Цагадай	Djaghataï (khan)
Сон Юү-ри	Sung Yu-ri
Баткен аймаг	Province de Batken
Андижан	Andijan
Дашогуз	Daşoguz (ville)
Түркменабат	Türkmenabat
Жалал-Абад	Djalalabad
Цагаадайн улс	Khanat de Djaghataï
Мазер	Maser
Хань Жи-хеэ	Han Ji-hye
Фетхуллах Гюлен	Fethullah Gülen
Петропавл	Petropavl
Ежун ван	Yejong
