Afríka	Afrique
Francis Joyon	Francis Joyon
Denys Page	Denys Page
The Flaming Lips	The Flaming Lips
Tim Schafer	Tim Schafer
Ifigeneia í Táris	Iphigénie en Tauride (Euripide)
Ebeltoft	Ebeltoft
Efsta deild karla í knattspyrnu 1923	Championnat d'Islande de football 1923
Þungvopnað riddaralið	Cavalerie lourde
Rúmenska karlalandsliðið í handknattleik	Équipe de Roumanie de handball masculin
Efsta deild karla í knattspyrnu 1952	Championnat d'Islande de football 1952
Bugspjót	Beaupré (marine)
Þýsk málfræði	Grammaire allemande
Mannfræðisafnið í Mexíkó	Musée national d'anthropologie de Mexico
Frogger	Frogger
Sorsele	Sorsele
Týr (hljómsveit)	Týr (groupe)
Léttöl	Bière sans alcool
Vindhani	Girouette
Arnúlfur	Arnoul
Ekta grískt brúðkaup	Mariage à la grecque (film, 2002)
Lögmálið um samsemd óaðgreinanlegra hluta	Principe d'identité des indiscernables
Libellula quadrimaculata	Libellule à quatre taches
Detroit-teknó	Techno de Détroit
Óskháttur	Optatif
Ríkisstjórnir Samfylkingarinnar og Vinstrihreyfingarinnar - græns framboðs 2009-2013	Gouvernement Sigurðardóttir II
Hnútur (mælieining)	Nœud (lien)
Íslam í Evrópu	Islam en Europe
Duncan Hunter	Duncan Hunter
Fènghuáng	Fenghuang
Richard Henry Dana	Richard Henry Dana, Jr.
Biðlari	Client (informatique)
Dave Allen	Dave Allen (acteur)
Varðtunna	Nid-de-pie
Magnús Scheving	Magnús Scheving
Viking Society for Northern Research	Viking Society for Northern Research
Anne Haney	Anne Haney
Arlie Russell Hochschild	Arlie Russel Hochschild
Morgan Nicholls	Morgan Nicholls
Teignmouth	Teignmouth
Króksfjarðarnes	Króksfjarðarnes
Moodswinger	Moodswinger
Alive (tölvuleikur)	I Am Alive
Sogblettur	Suçon (ecchymose)
Christopher Heyerdahl	Christopher Heyerdahl
Hraungúll	Dôme de lave
Spánn í Söngvakeppni evrópskra sjónvarpsstöðva	Espagne au Concours Eurovision de la chanson
Marimekko	Marimekko
Langa þingið	Long Parlement
Svartdjöfull	Melanocetus johnsonii
Hinrik og Hagbarður	Johan et Pirlouit
Farsímakerfi	Réseau de téléphonie mobile
Whale Wars	Justiciers des mers
Þríhjól	Tricycle
Hreðavatn	Hreðavatn
Leyndarskjalasafn Vatikansins	Archives secrètes du Vatican
Things You Can Tell Just by Looking at Her	Ce que je sais d'elle... d'un simple regard
Þingið í Worms	Diète de Worms
Hinir postullegu feður	Pères apostoliques
Tommaso Tittoni	Tommaso Tittoni
Múlan	Mulan
Grindahlaup	Course de haies
Wacken	Wacken
Harro Magnussen	Harro Magnussen
Burgtor	Burgtor (Lübeck)
Bisingen	Bisingen
Marbach-kastalinn í Marburg	Château de Marbourg
Jesúítakirkjan í Mannheim	Église des Jésuites de Mannheim
Schnoor	Schnoor
Frægðarhöllin í München	Ruhmeshalle de Munich
Sjóminjasafnið í Laboe	Mémorial naval de Laboe
Raisting	Raisting
Ráðhúsið í Lübeck	Hôtel de ville de Lübeck
Spliff	Spliff (groupe)
Gilbert Murray	Gilbert Murray
Hagnýtt siðfræði	Éthique appliquée
Valdarno	Valdarno
Fokka	Foc
Margrét Lára Viðarsdóttir	Margrét Lára Viðarsdóttir
Victor	Victor (prénom)
Rangárþing ytra	Rangárþing ytra
Clara Pontoppidan	Clara Pontoppidan
Elektra (Evripídes)	Électre (Euripide)
Camoteshaf	Mer des Camotes
Ramekin	Ramequin (plat)
Samlegðaráhrif	Synergie
Þverkraftur	Composantes d'une force
Ricchi e Poveri	Ricchi e Poveri
John Leckie	John Leckie
Omarosa Manigault	Omarosa Manigault-Stallworth
Crassostrea	Crassostrea
Styx	Styx
TrueCrypt	TrueCrypt
Júgurbólga	Mammite (animaux domestiques)
Tara (Írlandi)	Tara
Kvöstur	Goupillon (liturgie)
Honorius Augustodunensis	Honoré d'Autun
Túrkmenska stafrófið	Alphabet turkmène
Lögmál Hofstadters	Loi de Hofstadter
Svartaraf	Jais
Kvíðaraskanir	Trouble anxieux
Þjóðvegur 44	Route 44 (Islande)
Ray Charles	Ray Charles
Kathy Bates	Kathy Bates
Aljekínsvörn	Défense Alekhine
Jan Janszoon	Jan Janszoon
Kasper Hvidt	Kasper Hvidt
Qualcomm	Qualcomm
Lakshadweep-haf	Mer des Laquedives
Commentarii de Bello Civili	Commentaires sur la Guerre civile
Íraksstríðið	Guerre d'Irak
Camille Winbush	Camille Winbush
Electric Six	Electric Six
Skjaddi	Alosa sapidissima
Pax Britannica	Pax Britannica
Paamiut	Paamiut
Firring	Aliénation
Gullna hindin	Golden Hind
Hjarðkvæði	Bucoliques
Ungverska karlalandsliðið í handknattleik	Équipe de Hongrie de handball masculin
Animal Collective	Animal Collective
Kóngar	Lampridiformes
Genúasegl	Génois
Háskólinn í Aþenu	Université nationale et capodistrienne d'Athènes
Efnavopnasamningurinn	Convention sur l'interdiction des armes chimiques
Sveinbjörn Sveinbjörnsson	Sveinbjörn Sveinbjörnsson
Bleikjuættkvísl	Salvelinus
Jörð (gyðja)	Jörd (déesse)
Mastodon	Mastodon
Moð	Paillis
Warwick	Warwick (Angleterre)
Halloumi	Halloumi
Norah Jones	Norah Jones
Melrose Place	Melrose Place
Monte Carlo (kvikmynd)	Bienvenue à Monte-Carlo
Anthony Panizzi	Antonio Panizzi
Börn náttúrunnar	Les Enfants de la nature
Schock-verðlaunin	Prix Schock
Thomas Fairfax	Thomas Fairfax (3e lord Fairfax de Cameron)
Cyril Genik	Cyril Genik
Dúðaætt	Raphidae
Heilaskönnun	Imagerie cérébrale
Leturhumar	Langoustine commune
Hvalsey (Hjaltlandseyjar)	Whalsay
Ty Olsson	Ty Olsson
JScript	JScript
Páll Óskar	Paul Oscar
Dennis Hastert	Dennis Hastert
Kallímakkos (myndhöggvari)	Callimaque (artiste)
Thomas Dolby	Thomas Dolby
Sébastien Bourdon	Sébastien Bourdon
Kallíkles	Calliclès
Bruce Goff	Bruce Goff
Joseph Paul Gaimard	Joseph Paul Gaimard
Billy Campbell	Billy Campbell
Gabriel Axel	Gabriel Axel
Moses I. Finley	Moses Finley
Lars Christiansen	Lars Christiansen
Niklas Rådström	Niklas Rådström
Dagfinn Høybråten	Dagfinn Høybråten
Johannes Ewald	Johannes Ewald
Matthias Gallas	Matthias Gallas
Polemon	Polémon d'Athènes
Squarepusher	Squarepusher
Robert Catesby	Robert Catesby
Ernest Nagel	Ernest Nagel
Xavier Barachet	Xavier Barachet
Joseph Luns	Joseph Luns
Michel de Certeau	Michel de Certeau
Sturla Þórðarson	Sturla Thórðarson
Markarfljót	Markarfljót
Staða ríkjasambandsins	Discours sur l'état de l'Union (États-Unis)
Hofsjökull	Hofsjökull
Látrabjarg	Látrabjarg
The Tallest Man on Earth	The Tallest Man on Earth
Arktínos	Arctinos de Milet
Reggie Bush	Reggie Bush
Giambattista Basile	Giambattista Basile
Einar Már Guðmundsson	Einar Már Guðmundsson
Klaus Rifbjerg	Klaus Rifbjerg
Guillaume Joli	Guillaume Joli
Fædros (Platon)	Phèdre (Platon)
Drangajökull	Drangajökull
Reagan Gomez-Preston	Reagan Gomez-Preston
Samrækt	Aquaponie
Jalal Dabagh	Jalal Dabagh
Anthony David Weiner	Anthony Weiner
Katt Williams	Katt Williams
Þyngdarsvið	Champ gravitationnel
Williams-heilkenni	Syndrome de Williams
Emre Aydın	Emre Aydın
Sinbad	Sinbad (acteur)
Flokkur:Gervigreind	Catégorie:Intelligence artificielle
Buddy Hackett	Buddy Hackett
Frjálshyggjuflokkurinn (Bandaríkin)	Parti libertarien (États-Unis)
Samhverfisgrúpa marghyrninga	Groupe diédral
Sjónfæri	Système visuel
Evrópumeistaramót karla í handknattleik 2000	Championnat d'Europe de handball masculin 2000
Evrópumeistaramót karla í handknattleik 2002	Championnat d'Europe de handball masculin 2002
Evrópumeistaramót karla í handknattleik 1996	Championnat d'Europe de handball masculin 1996
Samuel Honrubia	Samuel Honrubia
Carrot Top	Carrot Top
Christian Matras	Christian Matras (philologue)
Jónas Hallgrímsson	Jónas Hallgrímsson
Naddoður	Naddoddr
Jean Charles de Menezes	Jean Charles de Menezes
Hetjur Valhallar - Þór	Hetjur Valhallar - Þór
Söguheimur	Monde imaginaire
Giuseppe Merisi	Giuseppe Merisi
Tay Sachs-veiki	Maladie de Tay-Sachs
Evrópumeistaramót karla í handknattleik 2006	Championnat d'Europe de handball masculin 2006
Evrópumeistaramót karla í handknattleik 2008	Championnat d'Europe de handball masculin 2008
René Harris	René Harris
Háttarsögn	Verbe modal
Ransom E. Olds	Ransom Eli Olds
Joan Fuster	Joan Fuster
Tryggvi Þórhallsson	Tryggvi Þórhallsson
Steve Oedekerk	Steve Oedekerk
Wallace Langham	Wallace Langham
Jón Þorláksson (stjórnmálamaður)	Jón Þorláksson
Mark Sheppard	Mark Sheppard
Jalil Zandi	Jalil Zandi
David Alan Grier	David Alan Grier
Billy Gardell	Billy Gardell
Anne	Anne
Annus horribilis	Annus horribilis
Høgni Hoydal	Høgni Hoydal
Cantino-himinfletjan	Planisphère de Cantino
Blönduvirkjun	Centrale hydroélectrique de Blanda
Casterman	Casterman
Linspire	Linspire
Saga Norðurlanda	Histoire de la Scandinavie
Kvöldmatur	Souper
Mirinda	Mirinda
Link (The Legend of Zelda)	Link (The Legend of Zelda)
Glitfiskar	Osmeriformes
Innsigli Marteins Lúthers	Rose de Luther
Brian Eno	Brian Eno
Blóðbaðið í Bologna	Attentat de la gare de Bologne
Flauta (skip)	Flûte (bateau)
Hugmyndasaga	Histoire des idées
Prótínleki	Protéinurie
Nýskáldsagan	Nouveau roman
Mosastelkur	Grand Chevalier
Ídómeneifur	Idoménée
Flåklypa Grand Prix	Flåklypa Grand Prix
Ricardo Carvalho	Ricardo Carvalho
Ferskeytla	Quatrain
1. deild karla í knattspyrnu 1964	Championnat d'Islande de football 1964
Knattspyrnufélag Akureyrar	KA Akureyri
1. deild karla í knattspyrnu 1975	Championnat d'Islande de football 1975
Suðurhafsljósáta	Krill antarctique
Tampaflugvöllur	Aéroport international de Tampa
Íslandshreyfingin	Mouvement islandais - Terre vivante
Framvirkt óminni	Amnésie antérograde
Kambgarn	Laine peignée
Anthony Denison	Anthony John Denison
Amaro Pargo	Amaro Rodríguez Felipe
Kleifarvatn	Kleifarvatn
Alþingiskosningar 2009	Élections législatives islandaises de 2009
Marblettur	Ecchymose
Bescheid	Bescheid
Kirkja heilags anda í Heidelberg	Église du Saint-Esprit (Heidelberg)
Dieter Roth	Dieter Roth
Mýrin (kvikmynd)	Jar City
Jóhann mildi af Holtsetalandi	Jean III de Holstein
Kastalinn í Mannheim	Château de Mannheim
Bavaria Yachtbau	Bavaria (chantier naval)
Basic Channel	Basic Channel
Svarta María (kvikmyndaver)	Black Maria
Oföndun	Hyperventilation
Bjarnarey (Vestmannaeyjum)	Bjarnarey
Kourtney Kardashian	Kourtney Kardashian
Generación del 27	Génération de 27
Cougar Town	Cougar Town
Safnskip	Navire musée
Ræktunaræti	Milieu de culture
Mars Polar Lander	Mars Polar Lander
Ákvæðisorð	Déterminants et articles en français
Sögubrot af nokkrum fornkonungum	Sögubrot
Hjálmönd	Petit Garrot
The Harder They Come	The Harder They Come (film)
Sahrawi	Sahraoui (peuple)
Walther P99	Walther P99
Búkarakanatið	Khanat de Boukhara
Puyehue (eldfjall)	Puyehue (volcan)
Stigbreyting	Degré de comparaison
Tom Foley	Thomas S. Foley
Explosions in the Sky	Explosions in the Sky
Germanska Heiðingjasambandið	Odalisme
Smallville (8. þáttaröð)	Saison 8 de Smallville
Fógeti	Shérif
Mír	Mir
Kirkjubær (Færeyjum)	Kirkjubøur
Ormaveiki	Helminthiase
Efsta deild karla í knattspyrnu 1930	Championnat d'Islande de football 1930
Booker-verðlaunin	Liste des lauréats du prix Booker en fiction
Smekkleysa	Smekkleysa
Haverford-háskóli	Haverford College
Ljóstillífunarbelti	Zone photique
Jean Rollin	Jean Rollin
Tungljurt	Botrychium lunaria
Handan góðs og ills	Par-delà bien et mal
Kjálkabarðskirtill	Glande submandibulaire
Balls of Fury	Balles de feu
Athlete (hljómsveit)	Athlete
Skandinavismi	Scandinavisme
Listi yfir CSI:Miami (4. þáttaröð)	Saison 4 des Experts : Miami
Austur-Anglía	Est-Anglie
Rachel Green	Rachel Green
1. deild karla í knattspyrnu 1967	Championnat d'Islande de football 1967
Rússneska karlalandsliðið í handknattleik	Équipe de Russie de handball masculin
Myctophiformes	Myctophiformes
Vikan mín með Marilyn	My Week with Marilyn
Lífsferilsgreining	Analyse du cycle de vie
Kjölur (skip)	Quille (bateau)
Sveinn (iðnaðarmaður)	Compagnon
How I Met Your Mother (5. þáttaröð)	Saison 5 de How I Met Your Mother
Veldisvöxtur	Croissance exponentielle
Fjallagrös	Cetraria islandica
Síki	Sikh
Græningi	Viréo aux yeux rouges
Miðilsgáfa	Médium (spiritualité)
Tuttugasta konungsættin	XXe dynastie égyptienne
Yfirmynntur vatnakarpi	Pseudorasbora parva
Gassendi	Gassendi (homonymie)
Aš	Aš
Pikrít	Picrite
BACH-mótífið	Motif BACH
Bassaleikari	Bassiste
Alþjóðareglur til að koma í veg fyrir árekstra á sjó	Règlement international pour prévenir les abordages en mer
Baskin-Robbins	Baskin-Robbins
Muscle Museum (stuttskífa)	Muscle Museum EP
Kangilinnguit	Kangilinnguit
Emily Robison	Emily Robison
Jaðrakanar	Limosa (genre)
Boden	Boden
Trelleborg (hringborg)	Forteresse circulaire viking
Fetlar	Fetlar
Limousin (nautgripakyn)	Limousine (race bovine)
Rúnakvæði	Poèmes runiques
Íslenskar þýðingar á erlendum kvikmyndaheitum	Ice Princess
Dominic Howard	Dominic Howard
Itamaracá	Ilha de Itamaracá
Aukageta	Épiphénomène
Games Workshop	Games Workshop
Alþingiskosningar 1946	Élections législatives islandaises de 1946
Kulusuk	Kulusuk
Ívaf	Fil de trame
Leikbrúðugerð	Théâtre de marionnettes
María Tudor	Marie d'Angleterre (1496-1533)
Haparanda	Haparanda
Narewka	Narewka
Játvarður 8. Bretlandskonungur	Édouard VIII
Kingittorsuaq steinninn	Pierre runique de Kingigtorssuaq
Ítalski sósíalistaflokkurinn	Parti socialiste italien
Kvikmyndagerð	Cinéma
Skagabyggð	Skagabyggð
Útvængjur	Exopterygota
Hauganes	Hauganes
Ívars þáttur Ingimundarsonar	Ívars þáttr Ingimundarsonar
Frambolur	Thorax
Forsetakosningar á Íslandi 2004	Élection présidentielle islandaise de 2004
Integralismi	Nationalisme intégral
Skráptunga	Radula
Listi yfir firði Íslands	Liste des fjords d'Islande
Glerá	Glerá
Snæfellsnes	Snæfellsnes
Hvalfjarðargöng	Tunnel du Hvalfjörður
Hvalfjörður	Hvalfjörður
Blanda	Blanda
Þjóðvegur 1	Route 1 (Islande)
City Ground	City Ground
Exmoor	Parc national d'Exmoor
Gouda (ostur)	Gouda (fromage)
Flotgengi	Changes flottants
NFC Austur	NFC East
Kungshamn	Kungshamn
Samtök um alþjóðasamskipti	Council on Foreign Relations
Yngling	Yngling (voilier)
Sibuyanhaf	Mer de Sibuyan
MÓSA	Staphylococcus aureus résistant à la méticilline
Ondarroa	Ondarroa
Langlúra	Glyptocephalus cynoglossus
Lögmál Okuns	Loi d'Okun
LINQ	Language Integrated Query
Eintrjáningur	Pirogue monoxyle
Mattel	Mattel
Plötumerki	Étiquette d'oreille
Super Bowl XLI	Super Bowl XLI
Grunnmengi	Univers (logique)
Knattspyrnufélagið Valur	Valur Reykjavik
Reykbjór	Rauchbier
Skutulsfjörður	Skutulsfjörður
Nóatún	Nóatún
Snorri Þorfinnsson	Snorri Thorfinnsson
Stinnastör	Carex bigelowii
Kaizers Orchestra	Kaizers Orchestra
Lagrange-margfaldarar	Multiplicateur de Lagrange
Síð-pönk	Post-punk
Sýklafræði	Microbiologie médicale
Astérix chez Rahàzade	Astérix chez Rahàzade
Peniki	Peniki
Fiskur (matargerð)	Poisson (aliment)
Óbeygjanlegt orð	Mot invariable
Smallville (9. þáttaröð)	Saison 9 de Smallville
Hringönd	Fuligule à collier
Múrinn í Kirkjubæ	Cathédrale Saint-Magnus (Kirkjubøur)
Álaborgarháskóli	Université d'Aalborg
Viðskiptaleynd	Secret commercial
Drexel-háskóli	Université Drexel
Gaoming	District de Gaoming
Meðalhófsreglan	Principe de proportionnalité
ArcheAge	ArcheAge
Handelshøyskolen BI	BI Norwegian Business School
Steinbítar	Anarhichadidae
Efsta deild karla í knattspyrnu 1938	Championnat d'Islande de football 1938
Blái drengurinn	L'Enfant bleu (Gainsborough)
Eyjafjörður	Eyjafjörður
Matreiðslubók	Livre de cuisine
Antonio Starabba	Antonio di Rudinì
Morroflói	Morro Bay
Hugleiðingar um frumspeki	Méditations métaphysiques
Láland	Lolland
Sebastian Roché	Sebastian Roché (acteur)
BCL-grunnklasasafnið	Base Class Library
Olga Syahputra	Olga Syahputra
Fiskistigi	Échelle à poissons
Suðureyri	Suðureyri
Invader Zim	Invader Zim
Óræðar tölur	Nombre irrationnel
Heimaklettur	Heimaklettur
Big Boss	Big Boss
Hárreitisýki	Trichotillomanie
Þingkonurnar	L'Assemblée des femmes
Réttstöðulyfta	Soulevé de terre
Vestmanna	Vestmanna
John Whitaker	John Whitaker
1. deild karla í knattspyrnu 1969	Championnat d'Islande de football 1969
Jökulsá á Fjöllum	Jökulsá á Fjöllum
Ríkisútvarpið	Ríkisútvarpið
Kynþroski	Maturité sexuelle
Vínlandskortið	Carte du Vinland
Vé	Vé (dieu)
Frumfylki	Matrice élémentaire
Hannes Hafstein	Hannes Hafstein
Blisskerfið	Bliss (langage)
Erlendur Sveinsson	Erlendur Sveinsson
Heimullegt forritunarmál	Langage de programmation exotique
Pétur Pan 2	Peter Pan 2
Serial Mom	Serial Mother
Ketill flatnefur	Ketill Au nez plat
EFTA-dómstóllinn	Cour de justice de l'Association européenne de libre-échange
Vetlanda	Vetlanda
Vetrarferðin	Winterreise
Auður djúpúðga Ketilsdóttir	Aude la Très-Sage
Peder Claussøn Friis	Peder Claussøn Friis
JJ72	JJ72
Possessed (hljómplata)	Possessed (album de Venom)
Kangaatsiaq	Kangaatsiaq
Love Don't Cost a Thing (kvikmynd)	L'amour n'a pas de prix (film, 2003)
Þorgeir Ljósvetningagoði Þorkelsson	Þorgeir Þorkelsson
Uppsprettan	La Source vive
Kirby (Nintendo)	Kirby (personnage)
Shahram Rostami	Shahram Rostami
Kántrí rokk	Country rock
Middelfart	Middelfart
Bacillus anthracis	Bacillus anthracis
Opus	Opus (groupe)
Jón (Evripídes)	Ion (Euripide)
Hippías minni (Platon)	Hippias mineur
Ólafsfjörður	Ólafsfjörður
Sagvespur	Symphyta
Blindsegl	Civadière
Beðið eftir barni	Ce qui vous attend si vous attendez un enfant
Mangareva	Mangareva
Ólafur Jóhannesson (kvikmyndagerðarmaður)	Olaf de Fleur
Homogenic	Homogenic
Sveitabrúðkaup	Mariage à l'islandaise
Et tu, Brute?	Tu quoque mi fili
Laufæta	Phyllophage
Soka Gakkai	Sōka Gakkai
Aperture	Aperture (logiciel)
Loðvík prins af Lúxemborg	Louis de Luxembourg (1986)
Baku Crystal Hall	Baku Crystal Hall
Apollóníos frá Aþenu	Apollonios d'Athènes
Borgarfjörður	Borgarfjörður
Varnarræða Sókratesar (Xenofon)	Apologie de Socrate (Xénophon)
Fleslandflugvöllur	Aéroport de Bergen
Wikipedia:Flýtileið	Aide:Raccourci
William Stephenson	William Stephenson
Dirichlet-röð	Série de Dirichlet
App	Application mobile
Frumgyðistrú	Déisme
Lýdía	Lydie
Jónía	Ionie
Svanir og gæsir	Anserinae
Emory-háskóli	Université Emory
Hjartagoði	Pontédérie à feuilles en cœur
Marinerdalirnir	Valles Marineris
Vandamál	Problème
AppleWorks	AppleWorks
Apple Cinema Display	Apple Cinema Display
Xserve	Xserve
Sucker Punch (kvikmynd)	Sucker Punch
Pontus	Pont (région)
Alexander Petersson	Alexander Petersson
Sjálfhverfni	Relation réflexive
Síðtímabilið	Basse époque égyptienne
Grýla	Grýla
Vítisenglar	Hells Angels
Sigurdagurinn í Evrópu	8 mai 1945
Burðardýr	Bête de somme
Djurgårdens IF	Djurgårdens IF (football)
Forréttur	Antipasti
Walkman	Walkman
Jólakort	Carte de Noël
Ystingur	Caillé
Ódalíska	Odalisque
Einingarlögin	Acte unique européen
Piparúði	Gaz poivre
Markaðsbrestur	Défaillance du marché
Þungaiðnaður	Industrie lourde
Kaliforníuháskóli í San Diego	Université de Californie à San Diego
Spænsku Niðurlönd	Pays-Bas espagnols
Caruaru	Caruaru
Dinosaur Jr.	Dinosaur Jr.
Kapfenberg	Kapfenberg
Qalqilya	Qalqilya
Gáshnallur	Baleine de Cuvier
Fjármálastjóri	Directeur financier
Jeremy Suarez	Jeremy Suarez
Web Services Description Language	Web Services Description Language
Laxá í Aðaldal	Laxá í Aðaldal
Innyflaspámaður	Haruspice
Líkindamál	Espace probabilisé
Langbarðabandalagið	Ligue lombarde
Lord of the Rings Online	Le Seigneur des anneaux online
Seyðisfjörður	Seyðisfjörður
Meet the Parents	Mon beau-père et moi
Hvörf	Péripétie
Tónskratti	Triton (musique)
Skuldatryggingarálag	Credit default swap
Málþóf	Obstruction parlementaire
Júgur	Mamelle
Matjurtagarður	Jardin potager
Kristin vísindi	Science chrétienne
Vetnissprengja	Bombe H
Hafiz	Hafiz (islam)
Veðkall	Taux de marge
Kundalini	Kundalini (sanskrit)
Jökulrák	Strie glaciaire
Montjú	Montou
Halland	Halland
Barnafoss	Barnafoss
Cévennes	Cévennes
Eyjólfur Sverrisson	Eyjólfur Sverrisson
Aravakíska	Langues arawakiennes
Ráðstjórn	Conseil ouvrier
Iðnverkamaðurinn og samyrkjukonan	L'Ouvrier et la Kolkhozienne
Tre allegri ragazzi morti	Tre allegri ragazzi morti
Kartöflusáta	Rösti
Stofnun Árna Magnússonar í íslenskum fræðum	Institut Árni Magnússon
Landsbókasafn Íslands - Háskólabókasafn	Bibliothèque nationale et universitaire d'Islande
Vinnuhæli	Workhouse
Listi yfir CSI:NY (5. þáttaröð)	Saison 5 des Experts : Manhattan
Mýrfjóla	Violette des marais
Tjörneshreppur	Tjörneshreppur
Sektarkennd	Culpabilité (émotion)
Kúalubbi	Bolet rude
Fjölvaskipun	Macro-définition
Friends with Benefits	Sexe entre amis
Brasilíska karlalandsliðið í handknattleik	Équipe du Brésil de handball masculin
Þjóðvegur 61	Route 61 (Islande)
General Mills	General Mills
Þríbytna	Trimaran
Söngvar sakleysisins og Ljóð lífsreynslunnar	Songs of Innocence and of Experience
Chuck (sjónvarpsþáttur) (3. þáttaröð)	Saison 3 de Chuck
Myntfræði	Numismatique
Historia Norvegiæ	Historia Norwegiae
Hrísey	Hrísey
Kalmarófriðurinn	Guerre de Kalmar
NGC 4449	NGC 4449
Surf's Up (teiknimynd)	Les Rois de la glisse
OBX	OBX
Sala og endurleiga	Sale and Leaseback
Juraj-Dobrila-háskólinn í Pula	Université Juraj Dobrila de Pula
Hið óhugnanlega	L'inquiétante étrangeté
Archie Kao	Archie Kao
Rengla	Stolon (organe)
Sveinbjörn Beinteinsson	Sveinbjörn Beinteinsson
Bessastaðir	Bessastaðir
Vimmerby	Vimmerby
Gjaldeyrishöft	Contrôle des changes
Thomas Ravenscroft	Thomas Ravenscroft
Hippías meiri (Platon)	Hippias majeur
Lapsang souchong	Lapsang souchong
Kaj	Kai (prénom)
Ígulrós	Rosa rugosa
Mannætt	Hominidae
Snotra	Snotra
Samskiptakenningar	Interactionnisme
Marstjarna	Aster maritime
Rocky Carroll	Rocky Carroll
Kendra	Kendra
Króksnjáldri	Baleine à bec de Blainville
Þjóðvegur 54	Route 54 (Islande)
Home (kvikmynd)	Home (film, 2009)
Gríniðjan	Grini
Pax Americana	Pax Americana
Monpezat	Monpezat
Royal Mail	Royal Mail
Sölvahnútur	Ligia oceanica
Hljóðfæratónlist	Musique instrumentale
Bodiam kastali	Château de Bodiam
Madeleine McCann	Disparition de Maddie McCann
Króatíska karlalandsliðið í handknattleik	Équipe de Croatie de handball masculin
The Perseus Project	Perseus Project
Tónlistarmaður	Musicien
Símadeild karla í knattspyrnu 2001	Championnat d'Islande de football 2001
Istría	Istrie
Listi yfir CSI:Miami (3. þáttaröð)	Saison 3 des Experts : Miami
Áttarós	Rose des vents
Latibær	Bienvenue à Lazy Town
MK	MK
Stelpubönd	Girl group
Greinarmerking (skák)	Annotation (échecs)
Björn bróðir 2	Frère des ours 2
Qaasuitsup	Qaasuitsup
Verndunarlíffræði	Biologie de la conservation
UN Women	ONU Femmes
The Amazing Race	The Amazing Race (émission de télévision)
Erin Hunter	Erin Hunter
Fasilídes	Fasiladas d'Éthiopie
Il manifesto	Il Manifesto
Juice	Juice
Münchausen-heilkenni	Syndrome de Münchhausen
La Niña	La Niña (météorologie)
Ares (aðgreining)	Ares (homonymie)
Hudiksvall	Hudiksvall
Uri Bronfenbrenner	Urie Bronfenbrenner
Tröllastakkur	Pedicularis flammea
Vildarréttur	Positivisme juridique
Vatnshverfill	Turbine hydraulique
Panamaflói	Golfe de Panama
Snjóflóðaýlir	Appareil de recherche de victimes d'avalanche
Kramfors	Kramfors
Don Messick	Don Messick
Ingimar	Ingmar
Ottó	Ottó
Reif	Rave party
Úrslitaleikur meistaradeildar Evrópu 2008	Finale de la Ligue des champions de l'UEFA 2007-2008
Pýramídaritin	Textes des Pyramides
Inside Job	Inside Job
Loeb Classical Library	Loeb Classical Library
Argentínska karlalandsliðið í handknattleik	Équipe d'Argentine de handball masculin
Leikslokasiðfræði	Conséquentialisme
Sameignarfélag	Société en nom collectif (droit français)
Stríð Frakklands og Hollands	Guerre de Hollande
Gösun	Gazéification
Landssímadeild karla í knattspyrnu 2000	Championnat d'Islande de football 2000
Hrókönd	Érismature rousse
Vankynssveppir	Deuteromycota
Mińsk Mazowiecki	Mińsk Mazowiecki
Gambas	Gambas (langage)
Dvergastigi	Polémoine rampante
Ídómeneifur frá Lampsakos	Idoménée de Lampsaque
Tilbury	Tilbury
Simrishamn	Simrishamn
Um túlkun	De l'interprétation
Kent (hljómsveit)	Kent (groupe)
Okotsk	Okhotsk
CAC 40	CAC 40
Katalínu-flugvél	Consolidated PBY Catalina
Evþýfron (Platon)	Euthyphron
Tómasarkver	Livre de Thomas
Being John Malkovich	Dans la peau de John Malkovich
Final Cut Studio	Final Cut Studio
Johan Herman Wessel	Johan Herman Wessel
Flúðir Nílar	Cataracte du Nil
Henry Liddell	Henry Liddell
Nörd	Nerd
Desnjév-höfði	Cap Dejnev
Skerjagarðshaf	Archipel finlandais
Núllvalda fylki	Matrice nilpotente
Alice	Alice (prénom)
Bardagi	Combat
Kirkja Grundtvigs	Église de Grundtvig
Compiere	Compiere
Fjórtánda konungsættin	XIVe dynastie égyptienne
Smallville (4. þáttaröð)	Saison 4 de Smallville
Kóralslöngur	Serpent corail
Glíma	Glíma
Stóra brosma	Urophycis tenuis
Merinófé	Mérinos
Umberto D.	Umberto D.
Stjórnarskrá Rússlands	Constitution de la Fédération de Russie
Sláttarhljóð	Consonne battue
Reykjanesbær	Reykjanesbær
Sambandsríki Vestur-Indía	Fédération des Indes occidentales
Hengingarhnútur	Nœud de pendu
Ógnarskjalasafnið	Archives de la terreur
Pípukragi	Fraise (costume)
Arial	Arial
Jón Loftsson	Jón Loftsson
Gígtappi	Neck
Preacher	Preacher
Ljótipollur	Ljótipollur
Réttlæting (guðfræði)	Justification (théologie)
Hatursorðræða	Discours de haine
Heimskort	Planisphère
Kambatflói	Golfe de Cambay
WebKit	WebKit
Nýlenska	Novlangue
Ætisveppir	Liste de champignons comestibles
Bukoba	Bukoba
Oskarshamn	Oskarshamn
Nässjö	Nässjö
Arvika	Arvika
